[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | SQL: SHOW COLUMNS FROM `t_course` [ RunTime:0.001064s ]
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8] Use of undefined constant Coach - assumed 'Coach' ManageCourseAction.class.php 第 5 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | SQL: SHOW COLUMNS FROM `t_coach` [ RunTime:0.003433s ]
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | SQL: SELECT `coaName` FROM `t_coach` WHERE coaID='2000002' LIMIT 1   [ RunTime:0.000679s ]
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | SQL: SELECT `coaRemarks` FROM `t_coach` WHERE coaID='2000002' LIMIT 1   [ RunTime:0.000370s ]
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | SQL: SELECT `courseID`,`courseName`,`courseContent`,`courseTime`,`courseArea`,`courseTeacher`,`coursePrice` FROM `t_course` WHERE courseTeacher ='王青' ORDER BY courseID asc  [ RunTime:0.000851s ]
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | INFO: Tag[ view_template ] --START--
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000968s ]
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001147s ]
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-22T15:32:55+08:00 ] /abcTest/index.php/ManageCourse/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
